command_index,manifest,status,exit_code,start_time,end_time,duration_seconds,stdout_log,stderr_log,command
"11","domain_count_clean_seed3.txt","success","0","2026-08-29T21:46:02.5323553+02:00","2026-08-29T21:50:25.4299575+02:00","262.9","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_011.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_011.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm erm --steps 600 --train_envs 0.1,0.2,0.3,0.5,0.7,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 0"
"12","domain_count_clean_seed3.txt","success","0","2026-08-29T21:50:25.4299575+02:00","2026-08-29T21:54:35.1113525+02:00","249.68","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_012.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_012.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm irm --steps 600 --train_envs 0.1,0.2,0.3,0.5,0.7,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --penalty_weight 1000 --save_ckpts"
"13","domain_count_clean_seed3.txt","success","0","2026-08-29T21:54:35.1113525+02:00","2026-08-29T21:58:46.2391126+02:00","251.13","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_013.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_013.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm groupdro --steps 1000 --train_envs 0.1,0.2,0.3,0.5,0.7,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --groupdro_eta 0.1 --save_ckpts"
"14","domain_count_clean_seed3.txt","success","0","2026-08-29T21:58:46.2391126+02:00","2026-08-29T22:50:49.5755127+02:00","3123.34","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_014.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_014.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm iro --steps 600 --train_envs 0.1,0.2,0.3,0.5,0.7,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --save_ckpts"
"15","domain_count_clean_seed3.txt","success","0","2026-08-29T22:50:49.5755127+02:00","2026-08-29T22:54:16.0480591+02:00","206.47","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_015.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_015.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm inftask --steps 600 --train_envs 0.1,0.2,0.3,0.5,0.7,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --save_ckpts"
"16","domain_count_clean_seed3.txt","success","0","2026-08-29T22:54:16.0480591+02:00","2026-08-29T22:58:32.2778939+02:00","256.23","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_016.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_016.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm erm --steps 600 --train_envs 0.1,0.2,0.3,0.4,0.6,0.7,0.8,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 0"
"17","domain_count_clean_seed3.txt","success","0","2026-08-29T22:58:32.3181749+02:00","2026-08-29T23:02:41.5076804+02:00","249.19","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_017.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_017.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm irm --steps 600 --train_envs 0.1,0.2,0.3,0.4,0.6,0.7,0.8,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --penalty_weight 1000 --save_ckpts"
"18","domain_count_clean_seed3.txt","success","0","2026-08-29T23:02:41.5076804+02:00","2026-08-29T23:06:53.1193259+02:00","251.61","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_018.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_018.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm groupdro --steps 1000 --train_envs 0.1,0.2,0.3,0.4,0.6,0.7,0.8,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --groupdro_eta 0.1 --save_ckpts"
"19","domain_count_clean_seed3.txt","success","0","2026-08-29T23:06:53.1193259+02:00","2026-08-29T23:36:13.6953015+02:00","1760.58","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_019.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_019.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm iro --steps 600 --train_envs 0.1,0.2,0.3,0.4,0.6,0.7,0.8,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --save_ckpts"
"20","domain_count_clean_seed3.txt","success","0","2026-08-29T23:36:13.7109319+02:00","2026-08-29T23:39:34.6686168+02:00","200.96","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_020.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_020.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm inftask --steps 600 --train_envs 0.1,0.2,0.3,0.4,0.6,0.7,0.8,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --save_ckpts"
"21","domain_count_clean_seed4.txt","success","0","2026-08-30T07:25:56.7743807+02:00","2026-08-30T07:30:24.6342238+02:00","267.86","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_021.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_021.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm erm --steps 600 --train_envs 0.1,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 0"
"22","domain_count_clean_seed4.txt","success","0","2026-08-30T07:30:24.6562761+02:00","2026-08-30T07:34:47.8940871+02:00","263.24","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_022.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_022.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm irm --steps 600 --train_envs 0.1,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --penalty_weight 1000 --save_ckpts"
"23","domain_count_clean_seed4.txt","success","0","2026-08-30T07:34:47.9101715+02:00","2026-08-30T07:39:09.0742574+02:00","261.16","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_023.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_023.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm groupdro --steps 1000 --train_envs 0.1,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --groupdro_eta 0.1 --save_ckpts"
"24","domain_count_clean_seed4.txt","success","0","2026-08-30T07:39:09.0742574+02:00","2026-08-30T08:04:59.8661921+02:00","1550.79","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_024.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_024.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm iro --steps 600 --train_envs 0.1,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --save_ckpts"
"25","domain_count_clean_seed4.txt","success","0","2026-08-30T08:04:59.8920002+02:00","2026-08-30T08:08:19.2419090+02:00","199.35","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_025.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_025.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm inftask --steps 600 --train_envs 0.1,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --save_ckpts"
"26","domain_count_clean_seed4.txt","success","0","2026-08-30T08:08:19.2477739+02:00","2026-08-30T08:12:33.8081415+02:00","254.56","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_026.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_026.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm erm --steps 600 --train_envs 0.1,0.2,0.5,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 0"
"27","domain_count_clean_seed4.txt","success","0","2026-08-30T08:12:33.8081415+02:00","2026-08-30T08:16:48.5147499+02:00","254.71","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_027.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_027.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm irm --steps 600 --train_envs 0.1,0.2,0.5,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --penalty_weight 1000 --save_ckpts"
"28","domain_count_clean_seed4.txt","success","0","2026-08-30T08:16:48.5147499+02:00","2026-08-30T08:21:05.6662830+02:00","257.15","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_028.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_028.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm groupdro --steps 1000 --train_envs 0.1,0.2,0.5,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --groupdro_eta 0.1 --save_ckpts"
"29","domain_count_clean_seed4.txt","success","0","2026-08-30T08:21:05.6662830+02:00","2026-08-30T08:50:10.4282819+02:00","1744.76","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_029.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_029.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm iro --steps 600 --train_envs 0.1,0.2,0.5,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --save_ckpts"
"30","domain_count_clean_seed4.txt","success","0","2026-08-30T08:50:10.4438547+02:00","2026-08-30T08:53:31.9398322+02:00","201.5","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_030.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_030.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm inftask --steps 600 --train_envs 0.1,0.2,0.5,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --save_ckpts"
"31","domain_count_clean_seed4.txt","success","0","2026-08-30T08:53:31.9398322+02:00","2026-08-30T08:57:44.7862288+02:00","252.85","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_031.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_031.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm erm --steps 600 --train_envs 0.1,0.2,0.3,0.5,0.7,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 0"
"32","domain_count_clean_seed4.txt","success","0","2026-08-30T08:57:44.7962183+02:00","2026-08-30T09:01:53.4495813+02:00","248.65","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_032.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_032.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm irm --steps 600 --train_envs 0.1,0.2,0.3,0.5,0.7,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --penalty_weight 1000 --save_ckpts"
"33","domain_count_clean_seed4.txt","success","0","2026-08-30T09:01:53.4495813+02:00","2026-08-30T09:06:02.8867404+02:00","249.44","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_033.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_033.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm groupdro --steps 1000 --train_envs 0.1,0.2,0.3,0.5,0.7,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --groupdro_eta 0.1 --save_ckpts"
"34","domain_count_clean_seed4.txt","success","0","2026-08-30T09:06:02.8867404+02:00","2026-08-30T09:55:00.5132396+02:00","2937.63","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_034.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_034.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm iro --steps 600 --train_envs 0.1,0.2,0.3,0.5,0.7,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --save_ckpts"
"35","domain_count_clean_seed4.txt","success","0","2026-08-30T09:55:00.5164697+02:00","2026-08-30T09:58:16.9913918+02:00","196.47","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_035.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_035.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm inftask --steps 600 --train_envs 0.1,0.2,0.3,0.5,0.7,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --save_ckpts"
"36","domain_count_clean_seed4.txt","success","0","2026-08-30T09:58:17.0036057+02:00","2026-08-30T10:02:20.3493755+02:00","243.35","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_036.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_036.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 4 --algorithm erm --steps 600 --train_envs 0.1,0.2,0.3,0.4,0.6,0.7,0.8,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 0"
