run,seed,experiment,condition,algorithm,artifact_type,path,bytes
E1_2types_inftask,0,E1,2_types,inftask,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_inftask/history.jsonl,239008
E1_2types_inftask,0,E1,2_types,inftask,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_inftask/checkpoints/final.pt,326061938
E1_2types_iro,0,E1,2_types,iro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_iro/manifest.json,581954
E1_2types_iro,0,E1,2_types,iro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_iro/history.jsonl,334045
E1_2types_iro,0,E1,2_types,iro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_iro/checkpoints/final.pt,326062002
E1_4types_erm,0,E1,4_types,erm,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_erm/manifest.json,591846
E1_4types_erm,0,E1,4_types,erm,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_erm/history.jsonl,223073
E1_4types_erm,0,E1,4_types,erm,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_erm/checkpoints/final.pt,326061938
E1_4types_groupdro,0,E1,4_types,groupdro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_groupdro/manifest.json,591851
E1_4types_groupdro,0,E1,4_types,groupdro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_groupdro/history.jsonl,382389
E1_4types_groupdro,0,E1,4_types,groupdro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_groupdro/checkpoints/final.pt,326062066
E1_4types_inftask,0,E1,4_types,inftask,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_inftask/manifest.json,591850
E1_4types_inftask,0,E1,4_types,inftask,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_inftask/history.jsonl,298658
E1_4types_inftask,0,E1,4_types,inftask,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_inftask/checkpoints/final.pt,326061938
E1_4types_iro,0,E1,4_types,iro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_iro/manifest.json,591846
E1_4types_iro,0,E1,4_types,iro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_iro/history.jsonl,397615
E1_4types_iro,0,E1,4_types,iro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_iro/checkpoints/final.pt,326062002
E1_8types_erm,0,E1,8_types,erm,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_8types_erm/manifest.json,610903
E1_8types_erm,0,E1,8_types,erm,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_8types_erm/history.jsonl,353843
E1_8types_erm,0,E1,8_types,erm,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_8types_erm/checkpoints/final.pt,326061938
E1_8types_groupdro,0,E1,8_types,groupdro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_8types_groupdro/manifest.json,610908
E1_8types_groupdro,0,E1,8_types,groupdro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_8types_groupdro/history.jsonl,654379
E1_8types_groupdro,0,E1,8_types,groupdro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_8types_groupdro/checkpoints/final.pt,326062194
E1_8types_inftask,0,E1,8_types,inftask,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_8types_inftask/manifest.json,610907
E1_8types_inftask,0,E1,8_types,inftask,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_8types_inftask/history.jsonl,429569
E1_8types_inftask,0,E1,8_types,inftask,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_8types_inftask/checkpoints/final.pt,326061938
E1_8types_iro,0,E1,8_types,iro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_8types_iro/manifest.json,610903
E1_8types_iro,0,E1,8_types,iro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_8types_iro/history.jsonl,523331
E1_8types_iro,0,E1,8_types,iro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_8types_iro/checkpoints/final.pt,326062002
E2_10000pertype_erm,0,E2,10000_per_type,erm,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_erm/manifest.json,591853
E2_10000pertype_erm,0,E2,10000_per_type,erm,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_erm/history.jsonl,223073
E2_10000pertype_erm,0,E2,10000_per_type,erm,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_erm/checkpoints/final.pt,326061938
E2_10000pertype_groupdro,0,E2,10000_per_type,groupdro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_groupdro/manifest.json,591858
E2_10000pertype_groupdro,0,E2,10000_per_type,groupdro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_groupdro/history.jsonl,382389
E2_10000pertype_groupdro,0,E2,10000_per_type,groupdro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_groupdro/checkpoints/final.pt,326062066
E2_10000pertype_inftask,0,E2,10000_per_type,inftask,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_inftask/manifest.json,591857
E2_10000pertype_inftask,0,E2,10000_per_type,inftask,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_inftask/history.jsonl,298658
E2_10000pertype_inftask,0,E2,10000_per_type,inftask,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_inftask/checkpoints/final.pt,326061938
E2_10000pertype_iro,0,E2,10000_per_type,iro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_iro/manifest.json,591853
E2_10000pertype_iro,0,E2,10000_per_type,iro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_iro/history.jsonl,397615
E2_10000pertype_iro,0,E2,10000_per_type,iro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_iro/checkpoints/final.pt,326062002
E2_1000pertype_erm,0,E2,1000_per_type,erm,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_erm/manifest.json,83132
E2_1000pertype_erm,0,E2,1000_per_type,erm,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_erm/history.jsonl,226263
E2_1000pertype_erm,0,E2,1000_per_type,erm,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_erm/checkpoints/final.pt,326061938
E2_1000pertype_groupdro,0,E2,1000_per_type,groupdro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_groupdro/manifest.json,83137
E2_1000pertype_groupdro,0,E2,1000_per_type,groupdro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_groupdro/history.jsonl,382208
E2_1000pertype_groupdro,0,E2,1000_per_type,groupdro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_groupdro/checkpoints/final.pt,326062066
E2_1000pertype_inftask,0,E2,1000_per_type,inftask,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_inftask/manifest.json,83136
E2_1000pertype_inftask,0,E2,1000_per_type,inftask,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_inftask/history.jsonl,301118
E2_1000pertype_inftask,0,E2,1000_per_type,inftask,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_inftask/checkpoints/final.pt,326061938
E2_1000pertype_iro,0,E2,1000_per_type,iro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_iro/manifest.json,83132
E2_1000pertype_iro,0,E2,1000_per_type,iro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_iro/history.jsonl,403225
E2_1000pertype_iro,0,E2,1000_per_type,iro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_iro/checkpoints/final.pt,326062002
E2_5000pertype_erm,0,E2,5000_per_type,erm,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_erm/manifest.json,309053
E2_5000pertype_erm,0,E2,5000_per_type,erm,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_erm/history.jsonl,223432
E2_5000pertype_erm,0,E2,5000_per_type,erm,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_erm/checkpoints/final.pt,326061938
E2_5000pertype_groupdro,0,E2,5000_per_type,groupdro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_groupdro/manifest.json,309058
E2_5000pertype_groupdro,0,E2,5000_per_type,groupdro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_groupdro/history.jsonl,382424
E2_5000pertype_groupdro,0,E2,5000_per_type,groupdro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_groupdro/checkpoints/final.pt,326062066
E2_5000pertype_inftask,0,E2,5000_per_type,inftask,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_inftask/manifest.json,309057
E2_5000pertype_inftask,0,E2,5000_per_type,inftask,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_inftask/history.jsonl,298864
E2_5000pertype_inftask,0,E2,5000_per_type,inftask,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_inftask/checkpoints/final.pt,326061938
E2_5000pertype_iro,0,E2,5000_per_type,iro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_iro/manifest.json,309053
E2_5000pertype_iro,0,E2,5000_per_type,iro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_iro/history.jsonl,395225
E2_5000pertype_iro,0,E2,5000_per_type,iro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_iro/checkpoints/final.pt,326062002
E3_balanced_erm,0,E3,balanced,erm,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_erm/manifest.json,591847
E3_balanced_erm,0,E3,balanced,erm,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_erm/history.jsonl,223073
E3_balanced_erm,0,E3,balanced,erm,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_erm/checkpoints/final.pt,326061938
E3_balanced_groupdro,0,E3,balanced,groupdro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_groupdro/manifest.json,591852
E3_balanced_groupdro,0,E3,balanced,groupdro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_groupdro/history.jsonl,382389
E3_balanced_groupdro,0,E3,balanced,groupdro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_groupdro/checkpoints/final.pt,326062066
E3_balanced_inftask,0,E3,balanced,inftask,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_inftask/manifest.json,591851
E3_balanced_inftask,0,E3,balanced,inftask,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_inftask/history.jsonl,298658
E3_balanced_inftask,0,E3,balanced,inftask,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_inftask/checkpoints/final.pt,326061938
E3_balanced_iro,0,E3,balanced,iro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_iro/manifest.json,591847
E3_balanced_iro,0,E3,balanced,iro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_iro/history.jsonl,397615
E3_balanced_iro,0,E3,balanced,iro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_iro/checkpoints/final.pt,326062002
E3_mild_imbalance_erm,0,E3,mild_imbalance,erm,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_erm/manifest.json,591547
E3_mild_imbalance_erm,0,E3,mild_imbalance,erm,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_erm/history.jsonl,222933
E3_mild_imbalance_erm,0,E3,mild_imbalance,erm,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_erm/checkpoints/final.pt,326061938
E3_mild_imbalance_groupdro,0,E3,mild_imbalance,groupdro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_groupdro/manifest.json,591552
E3_mild_imbalance_groupdro,0,E3,mild_imbalance,groupdro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_groupdro/history.jsonl,383212
E3_mild_imbalance_groupdro,0,E3,mild_imbalance,groupdro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_groupdro/checkpoints/final.pt,326062066
E3_mild_imbalance_inftask,0,E3,mild_imbalance,inftask,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_inftask/manifest.json,591551
E3_mild_imbalance_inftask,0,E3,mild_imbalance,inftask,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_inftask/history.jsonl,298696
E3_mild_imbalance_inftask,0,E3,mild_imbalance,inftask,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_inftask/checkpoints/final.pt,326062002
E3_mild_imbalance_iro,0,E3,mild_imbalance,iro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_iro/manifest.json,591547
E3_mild_imbalance_iro,0,E3,mild_imbalance,iro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_iro/history.jsonl,402314
E3_mild_imbalance_iro,0,E3,mild_imbalance,iro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_iro/checkpoints/final.pt,326062066
E3_strong_imbalance_erm,0,E3,strong_imbalance,erm,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_erm/manifest.json,591549
E3_strong_imbalance_erm,0,E3,strong_imbalance,erm,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_erm/history.jsonl,222695
E3_strong_imbalance_erm,0,E3,strong_imbalance,erm,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_erm/checkpoints/final.pt,326061938
E3_strong_imbalance_groupdro,0,E3,strong_imbalance,groupdro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_groupdro/manifest.json,591554
E3_strong_imbalance_groupdro,0,E3,strong_imbalance,groupdro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_groupdro/history.jsonl,383375
E3_strong_imbalance_groupdro,0,E3,strong_imbalance,groupdro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_groupdro/checkpoints/final.pt,326062066
E3_strong_imbalance_inftask,0,E3,strong_imbalance,inftask,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_inftask/manifest.json,591553
E3_strong_imbalance_inftask,0,E3,strong_imbalance,inftask,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_inftask/history.jsonl,298473
E3_strong_imbalance_inftask,0,E3,strong_imbalance,inftask,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_inftask/checkpoints/final.pt,326062002
E3_strong_imbalance_iro,0,E3,strong_imbalance,iro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_iro/manifest.json,591549
E3_strong_imbalance_iro,0,E3,strong_imbalance,iro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_iro/history.jsonl,402666
E3_strong_imbalance_iro,0,E3,strong_imbalance,iro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_iro/checkpoints/final.pt,326062066
E3b_balanced_erm,0,E3b,balanced,erm,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_balanced_erm/manifest.json,591088
E3b_balanced_erm,0,E3b,balanced,erm,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_balanced_erm/history.jsonl,223073
E3b_balanced_erm,0,E3b,balanced,erm,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_balanced_erm/checkpoints/final.pt,326061938
E3b_balanced_groupdro,0,E3b,balanced,groupdro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_balanced_groupdro/manifest.json,591093
E3b_balanced_groupdro,0,E3b,balanced,groupdro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_balanced_groupdro/history.jsonl,382389
E3b_balanced_groupdro,0,E3b,balanced,groupdro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_balanced_groupdro/checkpoints/final.pt,326062066
E3b_balanced_inftask,0,E3b,balanced,inftask,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_balanced_inftask/manifest.json,591092
E3b_balanced_inftask,0,E3b,balanced,inftask,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_balanced_inftask/history.jsonl,298658
E3b_balanced_inftask,0,E3b,balanced,inftask,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_balanced_inftask/checkpoints/final.pt,326061938
E3b_balanced_iro,0,E3b,balanced,iro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_balanced_iro/manifest.json,591088
E3b_balanced_iro,0,E3b,balanced,iro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_balanced_iro/history.jsonl,397615
E3b_balanced_iro,0,E3b,balanced,iro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_balanced_iro/checkpoints/final.pt,326062002
E3b_long_tail_erm,0,E3b,long_tail,erm,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_long_tail_erm/manifest.json,590885
E3b_long_tail_erm,0,E3b,long_tail,erm,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_long_tail_erm/history.jsonl,222319
E3b_long_tail_erm,0,E3b,long_tail,erm,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_long_tail_erm/checkpoints/final.pt,326061938
E3b_long_tail_groupdro,0,E3b,long_tail,groupdro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_long_tail_groupdro/manifest.json,590890
E3b_long_tail_groupdro,0,E3b,long_tail,groupdro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_long_tail_groupdro/history.jsonl,382649
E3b_long_tail_groupdro,0,E3b,long_tail,groupdro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3b_long_tail_groupdro/checkpoints/final.pt,326062066
